year,disease,sido,sigungu,gender,age_group,patients,visit_days,cost,context_key,visit_days_per_patient,cost_per_patient
2024,ADHD,서울,강남구,남,0~9세,1228,7706,757661040,adhd,6.2752442996742674,616987.8175895766
2024,ADHD,서울,강남구,남,10~19세,2844,20690,2040340760,adhd,7.274964838255977,717419.3952180028
2024,ADHD,서울,강남구,남,20~29세,1712,11840,1442449110,adhd,6.91588785046729,842552.0502336449
2024,ADHD,서울,강남구,남,30~39세,1483,10474,1392209580,adhd,7.062710721510451,938779.2178017532
2024,ADHD,서울,강남구,남,40~49세,393,2671,311817480,adhd,6.796437659033079,793428.7022900763
2024,ADHD,서울,강남구,남,50~59세,118,651,79341840,adhd,5.516949152542373,672388.4745762711
2024,ADHD,서울,강남구,남,60~69세,16,65,7748540,adhd,4.0625,484283.75
2024,ADHD,서울,강남구,남,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강남구,남,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강남구,남,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강남구,남,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강남구,여,0~9세,351,2167,209704420,adhd,6.1737891737891735,597448.4900284901
2024,ADHD,서울,강남구,여,10~19세,1463,10836,1152771010,adhd,7.4066985645933014,787950.10936432
2024,ADHD,서울,강남구,여,20~29세,2257,15227,2037029900,adhd,6.746566238369517,902538.7239698715
2024,ADHD,서울,강남구,여,30~39세,1512,11037,1484357250,adhd,7.299603174603175,981717.7579365079
2024,ADHD,서울,강남구,여,40~49세,439,3054,353707960,adhd,6.956719817767654,805712.8929384965
2024,ADHD,서울,강남구,여,50~59세,119,778,84423480,adhd,6.53781512605042,709441.0084033613
2024,ADHD,서울,강남구,여,60~69세,16,66,6735880,adhd,4.125,420992.5
2024,ADHD,서울,강남구,여,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강남구,여,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강남구,여,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강남구,여,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,남,0~9세,782,6909,455665810,adhd,8.835038363171355,582692.8516624041
2024,ADHD,서울,강동구,남,10~19세,1064,8618,613983110,adhd,8.099624060150376,577051.7951127819
2024,ADHD,서울,강동구,남,20~29세,409,2596,198724390,adhd,6.34718826405868,485878.7041564792
2024,ADHD,서울,강동구,남,30~39세,294,1988,164378600,adhd,6.761904761904762,559110.8843537415
2024,ADHD,서울,강동구,남,40~49세,92,599,53366750,adhd,6.510869565217392,580073.3695652174
2024,ADHD,서울,강동구,남,50~59세,14,96,6254250,adhd,6.857142857142857,446732.14285714284
2024,ADHD,서울,강동구,남,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,남,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,남,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,남,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,남,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,여,0~9세,233,1638,117641320,adhd,7.030042918454936,504898.36909871246
2024,ADHD,서울,강동구,여,10~19세,478,3773,281712670,adhd,7.893305439330544,589357.050209205
2024,ADHD,서울,강동구,여,20~29세,452,2957,248119530,adhd,6.542035398230088,548937.0132743362
2024,ADHD,서울,강동구,여,30~39세,313,1938,156737220,adhd,6.1916932907348246,500757.8913738019
