진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2024,ADHD,경기,용인기흥구,여,848 ,6674 ,457085760 
2024,ADHD,경기,용인수지구,남,1507 ,10798 ,1043432550 
2024,ADHD,경기,용인수지구,여,749 ,5103 ,465117010 
2024,ADHD,경기,용인처인구,남,306 ,1713 ,147745950 
2024,ADHD,경기,용인처인구,여,314 ,2008 ,187810180 
2024,ADHD,경기,이천시,남,381 ,2108 ,180513850 
2024,ADHD,경기,이천시,여,255 ,1202 ,116837420 
2024,ADHD,경기,파주시,남,1121 ,9210 ,893637710 
2024,ADHD,경기,파주시,여,759 ,6290 ,580523990 
2024,ADHD,경기,김포시,남,1153 ,7988 ,607470770 
2024,ADHD,경기,김포시,여,723 ,4672 ,379582900 
2024,ADHD,경기,안성시,남,51 ,387 ,21894300 
2024,ADHD,경기,안성시,여,35 ,123 ,8449930 
2024,ADHD,경기,화성시,남,2495 ,17791 ,1785736670 
2024,ADHD,경기,화성시,여,1330 ,8723 ,893127140 
2024,ADHD,경기,광주시,남,695 ,5394 ,551493500 
2024,ADHD,경기,광주시,여,336 ,2477 ,259422710 
2024,ADHD,경기,양주시,남,162 ,941 ,66550760 
2024,ADHD,경기,양주시,여,130 ,689 ,47147080 
2024,ADHD,경기,포천시,남,16 ,54 ,2246500 
2024,ADHD,경기,포천시,여,0 ,0 ,0 
2024,ADHD,경기,여주시,남,159 ,1598 ,72934570 
2024,ADHD,경기,여주시,여,75 ,525 ,19908150 
2024,ADHD,강원,고성군,남,0 ,0 ,0 
2024,ADHD,강원,고성군,여,0 ,0 ,0 
2024,ADHD,강원,양구군,남,0 ,0 ,0 
2024,ADHD,강원,양구군,여,0 ,0 ,0 
2024,ADHD,강원,양양군,남,0 ,0 ,0 
2024,ADHD,강원,양양군,여,0 ,0 ,0 
2024,ADHD,강원,영월군,남,0 ,0 ,0 
2024,ADHD,강원,영월군,여,0 ,0 ,0 
2024,ADHD,강원,인제군,남,0 ,0 ,0 
2024,ADHD,강원,인제군,여,0 ,0 ,0 
2024,ADHD,강원,정선군,남,0 ,0 ,0 
2024,ADHD,강원,정선군,여,0 ,0 ,0 
2024,ADHD,강원,철원군,남,0 ,0 ,0 
2024,ADHD,강원,철원군,여,0 ,0 ,0 
2024,ADHD,강원,평창군,남,0 ,0 ,0 
2024,ADHD,강원,평창군,여,0 ,0 ,0 
2024,ADHD,강원,홍천군,남,0 ,0 ,0 
2024,ADHD,강원,홍천군,여,0 ,0 ,0 
2024,ADHD,강원,화천군,남,0 ,0 ,0 
2024,ADHD,강원,화천군,여,0 ,0 ,0 
