진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2024,ADHD,서울,성북구,남,10~19세,756 ,4865 ,362142770 
2024,ADHD,서울,성북구,남,20~29세,350 ,2127 ,162734670 
2024,ADHD,서울,성북구,남,30~39세,133 ,698 ,60512580 
2024,ADHD,서울,성북구,남,40~49세,30 ,182 ,16642460 
2024,ADHD,서울,성북구,남,50~59세,16 ,77 ,5677860 
2024,ADHD,서울,성북구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,성북구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,성북구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,성북구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,성북구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,성북구,여,0~9세,141 ,852 ,68707110 
2024,ADHD,서울,성북구,여,10~19세,352 ,2258 ,175469310 
2024,ADHD,서울,성북구,여,20~29세,483 ,3168 ,293852430 
2024,ADHD,서울,성북구,여,30~39세,149 ,973 ,83448770 
2024,ADHD,서울,성북구,여,40~49세,47 ,248 ,20666360 
2024,ADHD,서울,성북구,여,50~59세,16 ,100 ,6921980 
2024,ADHD,서울,성북구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,성북구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,성북구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,성북구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,성북구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,영등포구,남,0~9세,392 ,2313 ,253475290 
2024,ADHD,서울,영등포구,남,10~19세,470 ,3090 ,317878090 
2024,ADHD,서울,영등포구,남,20~29세,467 ,3496 ,363463170 
2024,ADHD,서울,영등포구,남,30~39세,464 ,3544 ,410774610 
2024,ADHD,서울,영등포구,남,40~49세,127 ,904 ,119244750 
2024,ADHD,서울,영등포구,남,50~59세,32 ,306 ,30899830 
2024,ADHD,서울,영등포구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,영등포구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,영등포구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,영등포구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,영등포구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,영등포구,여,0~9세,91 ,545 ,57362290 
2024,ADHD,서울,영등포구,여,10~19세,232 ,1464 ,153050730 
2024,ADHD,서울,영등포구,여,20~29세,685 ,4996 ,595806500 
2024,ADHD,서울,영등포구,여,30~39세,474 ,3930 ,435088990 
2024,ADHD,서울,영등포구,여,40~49세,121 ,882 ,98854400 
2024,ADHD,서울,영등포구,여,50~59세,20 ,122 ,14193680 
2024,ADHD,서울,영등포구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,영등포구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,영등포구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,영등포구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,영등포구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,용산구,남,0~9세,79 ,450 ,65007880 
2024,ADHD,서울,용산구,남,10~19세,136 ,941 ,131703900 
2024,ADHD,서울,용산구,남,20~29세,165 ,910 ,102538350 
2024,ADHD,서울,용산구,남,30~39세,205 ,1322 ,141051650 
2024,ADHD,서울,용산구,남,40~49세,75 ,411 ,44867490 
2024,ADHD,서울,용산구,남,50~59세,15 ,74 ,8250800 
2024,ADHD,서울,용산구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,용산구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,용산구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,용산구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,용산구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,용산구,여,0~9세,26 ,107 ,13606960 
2024,ADHD,서울,용산구,여,10~19세,67 ,438 ,61121680 
2024,ADHD,서울,용산구,여,20~29세,345 ,2100 ,230145860 
2024,ADHD,서울,용산구,여,30~39세,225 ,1428 ,153377210 
2024,ADHD,서울,용산구,여,40~49세,40 ,239 ,24131670 
2024,ADHD,서울,용산구,여,50~59세,0 ,0 ,0 
2024,ADHD,서울,용산구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,용산구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,용산구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,용산구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,용산구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,은평구,남,0~9세,377 ,2274 ,163761390 
2024,ADHD,서울,은평구,남,10~19세,546 ,3524 ,291737280 
2024,ADHD,서울,은평구,남,20~29세,334 ,2331 ,182728380 
2024,ADHD,서울,은평구,남,30~39세,226 ,1592 ,141469150 
2024,ADHD,서울,은평구,남,40~49세,60 ,456 ,36051220 
2024,ADHD,서울,은평구,남,50~59세,12 ,66 ,3134780 
2024,ADHD,서울,은평구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,은평구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,은평구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,은평구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,은평구,남,100세이상,0 ,0 ,0 
